"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.323557795E2,6.495612919E1,2.552970420E1,3.380432005E0,1.494997852E0,1.487773679E0,4.723840007E0,3.392620319E0
1.333578821E2,6.495614170E1,2.552970787E1,3.753142145E0,1.509243559E0,2.253504484E0,4.722595254E0,3.394352825E0
1.343290462E2,6.495615302E1,2.552971051E1,3.743662809E0,1.495724531E0,1.468031224E0,4.721706155E0,3.395589496E0
1.353293016E2,6.495616531E1,2.552971043E1,3.252634203E0,1.489071287E0,1.392807220E0,4.722706545E0,3.394197979E0
1.363295584E2,6.495617822E1,2.552970414E1,3.342871827E0,1.525494601E0,3.574659321E2,4.723171708E0,3.393550655E0
1.373298154E2,6.495618963E1,2.552970389E1,3.332038832E0,1.519479371E0,3.576381393E2,4.722331752E0,3.394719407E0
1.383300478E2,6.495620126E1,2.552970423E1,3.016861529E0,1.517374475E0,3.592952664E2,4.722918978E0,3.393902380E0
1.393302673E2,6.495621342E1,2.552970621E1,3.248271384E0,1.520029267E0,7.848266442E-1,4.723656621E0,3.392875648E0
1.403304753E2,6.495622638E1,2.552969918E1,3.512318258E0,1.510321608E0,3.562128209E2,4.723720350E0,3.392786920E0
1.413306737E2,6.495623900E1,2.552970431E1,3.675779034E0,1.526746222E0,1.833855997E0,4.723928070E0,3.392497696E0
1.423308492E2,6.495625132E1,2.552969872E1,3.593270984E0,1.514763249E0,3.586870945E2,4.723748309E0,3.392747993E0
1.433310183E2,6.495626464E1,2.552969956E1,3.537049523E0,1.502615631E0,1.598143638E0,4.724715516E0,3.391400938E0
1.443311720E2,6.495627696E1,2.552970000E1,3.410309016E0,1.472349564E0,1.457087257E0,4.725761237E0,3.389943622E0
1.453313179E2,6.495629000E1,2.552970362E1,3.953201878E0,1.523120289E0,1.981558440E0,4.725561275E0,3.390222363E0
1.463314617E2,6.495630094E1,2.552970794E1,4.011987971E0,1.515314315E0,1.994987622E0,4.723957609E0,3.392456565E0
1.473315876E2,6.495631277E1,2.552971362E1,4.031271382E0,1.502991584E0,2.648791315E0,4.724377618E0,3.391871630E0
1.483317033E2,6.495632527E1,2.552971747E1,4.324403538E0,1.504575180E0,2.146488686E0,4.724549341E0,3.391632433E0
1.493318108E2,6.495633914E1,2.552971590E1,4.677085550E0,1.522851891E0,3.588482844E2,4.723661023E0,3.392869518E0
1.503319129E2,6.495635385E1,2.552971716E1,4.239478758E0,1.547759764E0,3.592568083E2,4.724295518E0,3.391985980E0
1.513320096E2,6.495636789E1,2.552971755E1,4.406105627E0,1.529373273E0,3.597479691E2,4.724669912E0,3.391464470E0
1.523320991E2,6.495638167E1,2.552971860E1,4.629696190E0,1.517411659E0,3.574422450E2,4.724463178E0,3.391752455E0
1.533321843E2,6.495639395E1,2.552972763E1,4.562668514E0,1.499088204E0,7.896232166E-1,4.724764387E0,3.391332853E0
1.543322650E2,6.495640629E1,2.552973525E1,4.865808729E0,1.521222334E0,3.595400758E2,4.724663969E0,3.391472750E0
1.553323414E2,6.495641990E1,2.552974838E1,5.891278266E0,1.477237692E0,6.710453560E0,4.722922337E0,3.393897704E0
1.563324138E2,6.495643340E1,2.552974758E1,5.812650078E0,1.492366906E0,3.317399927E0,4.722919325E0,3.393901897E0
1.573324823E2,6.495644699E1,2.552975011E1,5.971270265E0,1.516759848E0,1.892572130E0,4.722463000E0,3.394536824E0
1.583325499E2,6.495645735E1,2.552975344E1,7.019906335E0,1.379727570E0,3.923840804E0,4.718249800E0,3.400390545E0
1.593326083E2,6.495646772E1,2.552976652E1,7.906143939E0,1.286847402E0,1.123426225E1,4.716292897E0,3.403104221E0
1.603326657E2,6.495648252E1,2.552977176E1,6.864040109E0,1.454357170E0,8.666394958E0,4.720721053E0,3.396958901E0
1.613327210E2,6.495649575E1,2.552975985E1,6.370908194E0,1.513462157E0,3.526479138E2,4.721463092E0,3.395927459E0
1.623327738E2,6.495650854E1,2.552976271E1,6.631258948E0,1.520151105E0,3.578508376E2,4.721979575E0,3.395209261E0
1.633328236E2,6.495652158E1,2.552977002E1,6.809181530E0,1.504502268E0,3.501464618E0,4.721558420E0,3.395794917E0
1.643328700E2,6.495653345E1,2.552975810E1,6.755883663E0,1.485125921E0,3.577074578E2,4.720821410E0,3.396819431E0
1.653329144E2,6.495654467E1,2.552974373E1,6.171531089E0,1.448351605E0,3.507925409E2,4.722839427E0,3.394013078E0
1.663329573E2,6.495655215E1,2.552974543E1,6.586361611E0,1.117046559E0,3.595722858E2,4.726679616E0,3.388662987E0
1.673329986E2,6.495656046E1,2.552973684E1,7.154028667E0,1.018516119E0,3.577361704E2,4.729340480E0,3.384948398E0
1.683330380E2,6.495657762E1,2.552972035E1,7.635188442E0,1.445422078E0,3.524733099E2,4.729276135E0,3.385038296E0
